"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_precision[Test for Aventus]","tests","Tue Jan 28 09:07:29 GMT 2025","passed","Tue Jan 28 09:07:29 GMT 2025","TestPrecision","test_network_parameters","",""
"","0","test_precision[Test for Hyperbridge Nexus]","tests","Tue Jan 28 09:08:02 GMT 2025","passed","Tue Jan 28 09:08:02 GMT 2025","TestPrecision","test_network_parameters","",""
"","112","test_rpc_method_is_available[Test for Polkadot Bridge Hub, url: wss://dot-rpc.stakeworld.io/bridgehub]","tests","Tue Jan 28 09:09:06 GMT 2025","passed","Tue Jan 28 09:09:06 GMT 2025","","test_rpc_methods_availability","",""
"","69","test_rpc_method_is_available[Test for Robonomics, url: wss://kusama.rpc.robonomics.network/]","tests","Tue Jan 28 09:08:07 GMT 2025","passed","Tue Jan 28 09:08:07 GMT 2025","","test_rpc_methods_availability","",""
"","17","test_rpc_node_is_synced[Test for Kusama Bridge Hub, url: wss://sys.ibp.network/bridgehub-kusama]","tests","Tue Jan 28 09:09:07 GMT 2025","passed","Tue Jan 28 09:09:07 GMT 2025","","test_substrate_node_is_synced","",""
"","0","test_chainId[Test for Moonriver]","tests","Tue Jan 28 09:06:16 GMT 2025","passed","Tue Jan 28 09:06:16 GMT 2025","TestChainId","test_network_parameters","",""
"","0","test_precision[Test for GIANT]","tests","Tue Jan 28 09:07:42 GMT 2025","passed","Tue Jan 28 09:07:42 GMT 2025","TestPrecision","test_network_parameters","",""
"","116","test_rpc_node_is_synced[Test for Basilisk, url: wss://basilisk-rpc.dwellir.com]","tests","Tue Jan 28 09:06:43 GMT 2025","passed","Tue Jan 28 09:06:43 GMT 2025","","test_substrate_node_is_synced","",""
"","0","test_can_create_connection[Test for Encointer, url: wss://api.kusama.encointer.org]","tests","Tue Jan 28 09:07:32 GMT 2025","passed","Tue Jan 28 09:07:32 GMT 2025","","test_nodes_availability","",""
"","0","test_chainId[Test for Parallel]","tests","Tue Jan 28 09:06:22 GMT 2025","passed","Tue Jan 28 09:06:22 GMT 2025","TestChainId","test_network_parameters","",""
"","5","test_has_new_assets[Test for Avail]","tests","Tue Jan 28 09:07:39 GMT 2025","passed","Tue Jan 28 09:07:39 GMT 2025","TestAssets","test_check_new_assets","",""
"","13","test_rpc_node_is_synced[Test for Imbue, url: wss://kusama.imbuenetwork.com]","tests","Tue Jan 28 09:08:32 GMT 2025","passed","Tue Jan 28 09:08:32 GMT 2025","","test_substrate_node_is_synced","",""
"","114","test_rpc_method_is_available[Test for Polkadot, url: wss://dot-rpc.stakeworld.io]","tests","Tue Jan 28 09:06:34 GMT 2025","passed","Tue Jan 28 09:06:34 GMT 2025","","test_rpc_methods_availability","",""
"","7","test_has_new_assets[Test for Curio]","tests","Tue Jan 28 09:07:27 GMT 2025","passed","Tue Jan 28 09:07:27 GMT 2025","TestAssets","test_check_new_assets","",""
"","0","test_can_create_connection[Test for Kusama, url: wss://kusama.public.curie.radiumblock.co/ws]","tests","Tue Jan 28 09:06:58 GMT 2025","passed","Tue Jan 28 09:06:58 GMT 2025","","test_nodes_availability","",""
"","23","test_rpc_node_is_synced[Test for Polkadex, url: wss://polkadex.api.onfinality.io/public-ws]","tests","Tue Jan 28 09:08:32 GMT 2025","passed","Tue Jan 28 09:08:32 GMT 2025","","test_substrate_node_is_synced","",""
"","0","test_chainId[Test for Humanode]","tests","Tue Jan 28 09:07:55 GMT 2025","passed","Tue Jan 28 09:07:55 GMT 2025","TestChainId","test_network_parameters","",""
"","1","test_address_prefix[Test for Robonomics]","tests","Tue Jan 28 09:06:42 GMT 2025","passed","Tue Jan 28 09:06:42 GMT 2025","TestNetworkPrefix","test_network_parameters","",""
"","391","test_rpc_node_is_synced[Test for Acala, url: wss://acala.polkawallet.io]","tests","Tue Jan 28 09:07:13 GMT 2025","passed","Tue Jan 28 09:07:13 GMT 2025","","test_substrate_node_is_synced","",""
"","1","test_can_create_connection[Test for Westend (TESTNET), url: wss://rpc.ibp.network/westend]","tests","Tue Jan 28 09:07:11 GMT 2025","passed","Tue Jan 28 09:07:11 GMT 2025","","test_nodes_availability","",""
"","150","test_rpc_node_is_synced[Test for Polkadot Bridge Hub, url: wss://dot-rpc.stakeworld.io/bridgehub]","tests","Tue Jan 28 09:09:04 GMT 2025","passed","Tue Jan 28 09:09:04 GMT 2025","","test_substrate_node_is_synced","",""
"","0","test_can_create_connection[Test for Acala, url: wss://acala.polkawallet.io]","tests","Tue Jan 28 09:07:38 GMT 2025","passed","Tue Jan 28 09:07:38 GMT 2025","","test_nodes_availability","",""
"","71","test_rpc_method_is_available[Test for CC Enterprise, url: wss://mainnet.creditcoin.network/ws]","tests","Tue Jan 28 09:10:06 GMT 2025","passed","Tue Jan 28 09:10:06 GMT 2025","","test_rpc_methods_availability","",""
"","0","test_can_create_connection[Test for Altair, url: wss://altair.api.onfinality.io/public-ws]","tests","Tue Jan 28 09:07:36 GMT 2025","passed","Tue Jan 28 09:07:36 GMT 2025","","test_nodes_availability","",""
"","18","test_rpc_node_is_synced[Test for Turing, url: wss://rpc.turing.oak.tech]","tests","Tue Jan 28 09:08:15 GMT 2025","passed","Tue Jan 28 09:08:15 GMT 2025","","test_substrate_node_is_synced","",""
"","128","test_rpc_node_is_synced[Test for Litentry, url: wss://rpc.litentry-parachain.litentry.io]","tests","Tue Jan 28 09:08:29 GMT 2025","passed","Tue Jan 28 09:08:29 GMT 2025","","test_substrate_node_is_synced","",""
"","0","test_can_create_connection[Test for Centrifuge Parachain, url: wss://centrifuge-parachain.api.onfinality.io/public-ws]","tests","Tue Jan 28 09:08:37 GMT 2025","passed","Tue Jan 28 09:08:37 GMT 2025","","test_nodes_availability","",""
"","1","test_address_prefix[Test for 3DPass]","tests","Tue Jan 28 09:07:26 GMT 2025","passed","Tue Jan 28 09:07:26 GMT 2025","TestNetworkPrefix","test_network_parameters","",""
"","68","test_rpc_method_is_available[Test for Kusama People, url: wss://ksm-rpc.stakeworld.io/people]","tests","Tue Jan 28 09:06:28 GMT 2025","passed","Tue Jan 28 09:06:28 GMT 2025","","test_rpc_methods_availability","",""
"","122","test_rpc_node_is_synced[Test for Ajuna, url: wss://rpc-para.ajuna.network]","tests","Tue Jan 28 09:08:54 GMT 2025","passed","Tue Jan 28 09:08:54 GMT 2025","","test_substrate_node_is_synced","",""
"","1","test_chainId[Test for Acurast Canary]","tests","Tue Jan 28 09:07:41 GMT 2025","passed","Tue Jan 28 09:07:41 GMT 2025","TestChainId","test_network_parameters","",""
"","205","test_rpc_node_is_synced[Test for CLV Parachain, url: wss://rpc-para.clover.finance]","tests","Tue Jan 28 09:07:49 GMT 2025","passed","Tue Jan 28 09:07:49 GMT 2025","","test_substrate_node_is_synced","",""
"","1","test_address_prefix[Test for Nodle Parachain]","tests","Tue Jan 28 09:07:00 GMT 2025","passed","Tue Jan 28 09:07:00 GMT 2025","TestNetworkPrefix","test_network_parameters","",""
"","17","test_rpc_node_is_synced[Test for Kusama Bridge Hub, url: wss://bridge-hub-kusama.dotters.network]","tests","Tue Jan 28 09:09:08 GMT 2025","passed","Tue Jan 28 09:09:08 GMT 2025","","test_substrate_node_is_synced","",""
"","100","test_has_new_assets[Test for Polkadot]","tests","Tue Jan 28 09:06:08 GMT 2025","passed","Tue Jan 28 09:06:08 GMT 2025","TestAssets","test_check_new_assets","",""
"","7","test_has_new_assets[Test for Zeitgeist]","tests","Tue Jan 28 09:06:50 GMT 2025","passed","Tue Jan 28 09:06:50 GMT 2025","TestAssets","test_check_new_assets","",""
"","117","test_rpc_method_is_available[Test for KILT, url: wss://kilt.ibp.network]","tests","Tue Jan 28 09:06:49 GMT 2025","passed","Tue Jan 28 09:06:49 GMT 2025","","test_rpc_methods_availability","",""
"","0","test_can_create_connection[Test for Calamari, url: wss://calamari.systems]","tests","Tue Jan 28 09:08:08 GMT 2025","passed","Tue Jan 28 09:08:08 GMT 2025","","test_nodes_availability","",""
"","1","test_chainId[Test for Calamari]","tests","Tue Jan 28 09:06:09 GMT 2025","passed","Tue Jan 28 09:06:09 GMT 2025","TestChainId","test_network_parameters","",""
"","0","test_can_create_connection[Test for UNIQUE, url: wss://asia-ws.unique.network/]","tests","Tue Jan 28 09:10:06 GMT 2025","passed","Tue Jan 28 09:10:06 GMT 2025","","test_nodes_availability","",""
"","124","test_rpc_node_is_synced[Test for Polkadot, url: wss://polkadot-rpc.dwellir.com]","tests","Tue Jan 28 09:06:33 GMT 2025","passed","Tue Jan 28 09:06:34 GMT 2025","","test_substrate_node_is_synced","",""
"","37","test_rpc_node_is_synced[Test for Polkadot People, url: wss://people-polkadot.public.curie.radiumblock.co/ws]","tests","Tue Jan 28 09:06:22 GMT 2025","passed","Tue Jan 28 09:06:22 GMT 2025","","test_substrate_node_is_synced","",""
"","91","test_rpc_method_is_available[Test for Polkadot Asset Hub, url: wss://asset-hub-polkadot.dotters.network]","tests","Tue Jan 28 09:07:54 GMT 2025","passed","Tue Jan 28 09:07:54 GMT 2025","","test_rpc_methods_availability","",""
"","68","test_rpc_method_is_available[Test for Avail, url: wss://zeref-api.slowops.xyz/ws]","tests","Tue Jan 28 09:09:59 GMT 2025","passed","Tue Jan 28 09:09:59 GMT 2025","","test_rpc_methods_availability","",""
"","115","test_rpc_method_is_available[Test for Parallel, url: wss://parallel.gatotech.network]","tests","Tue Jan 28 09:07:32 GMT 2025","passed","Tue Jan 28 09:07:32 GMT 2025","","test_rpc_methods_availability","",""
"","17","test_rpc_node_is_synced[Test for Kusama Asset Hub, url: wss://sys.ibp.network/statemine]","tests","Tue Jan 28 09:07:03 GMT 2025","passed","Tue Jan 28 09:07:03 GMT 2025","","test_substrate_node_is_synced","",""
"","0","test_can_create_connection[Test for Polkadot, url: wss://rpc-polkadot.luckyfriday.io]","tests","Tue Jan 28 09:07:12 GMT 2025","passed","Tue Jan 28 09:07:12 GMT 2025","","test_nodes_availability","",""
"","0","test_can_create_connection[Test for Polkadot Bridge Hub, url: wss://sys.ibp.network/bridgehub-polkadot]","tests","Tue Jan 28 09:09:45 GMT 2025","passed","Tue Jan 28 09:09:45 GMT 2025","","test_nodes_availability","",""
"","0","test_precision[Test for Kusama People]","tests","Tue Jan 28 09:06:19 GMT 2025","passed","Tue Jan 28 09:06:19 GMT 2025","TestPrecision","test_network_parameters","",""
"","95","test_rpc_method_is_available[Test for Dock, url: wss://mainnet-node.dock.io]","tests","Tue Jan 28 09:09:36 GMT 2025","passed","Tue Jan 28 09:09:37 GMT 2025","","test_rpc_methods_availability","",""
"","5","test_has_new_assets[Test for Kreivo]","tests","Tue Jan 28 09:07:35 GMT 2025","passed","Tue Jan 28 09:07:35 GMT 2025","TestAssets","test_check_new_assets","",""
"","0","test_rpc_node_is_synced[Test for Kreivo, url: wss://kreivo.io/]","tests","Tue Jan 28 09:09:50 GMT 2025","broken","Tue Jan 28 09:09:50 GMT 2025","","test_substrate_node_is_synced","",""
"","120","test_rpc_node_is_synced[Test for Litentry, url: wss://litentry-rpc.dwellir.com]","tests","Tue Jan 28 09:08:33 GMT 2025","passed","Tue Jan 28 09:08:34 GMT 2025","","test_substrate_node_is_synced","",""
"","0","test_can_create_connection[Test for Polimec, url: wss://polimec.ibp.network]","tests","Tue Jan 28 09:10:28 GMT 2025","passed","Tue Jan 28 09:10:28 GMT 2025","","test_nodes_availability","",""
